task_id,task_name,Average_distance
203,868de0fa,0.530735931
204,8731374e,0.2734375
205,88a10436,0.728387681
206,88a62173,0.496465365
207,8.90E+14,0.295734073
208,8a004b2b,0.431388358
209,8be77c9e,0.80323499
210,8d5021e8,0.497828863
211,8d510a79,0.278783297
212,8e1813be,0.248205742
213,8e5a5113,0.422530242
214,8eb1be9a,0.623127653
215,8efcae92,0.350944241
216,8f2ea7aa,0.229844688
217,90c28cc7,0.4897343
218,90f3ed37,0.613068182
219,913fb3ed,0.408520827
220,91413438,0.416659684
221,91714a58,0.599102564
222,9172f3a0,0.798814611
223,928ad970,0.769546332
224,93b581b8,0.584062845
225,941d9a10,0.48
226,94f9d214,0.143809908
227,952a094c,0.251065341
228,9565186b,0.372826087
229,95990924,0.243017494
230,963e52fc,0.485352564
231,97999447,0.542842898
232,97a05b5b,0.254056795
233,98cf29f8,0.24736306
234,995c5fa3,0.369068794
235,99b1bc43,0.335548173
236,99fa7670,0.322335739
237,9aec4887,0.347101041
238,9af7a82c,0.223662722
239,9d9215db,0.352385952
240,9dfd6313,0.423937278
241,9ecd008a,0.568915549
242,9edfc990,0.303000992
243,9f236235,0.332931693
244,a1570a43,0.450899498
245,a2fd1cf0,0.350759977
246,a3325580,0.404783092
247,a3df8b1e,0.433685378
248,a416b8f3,0.398809524
249,a48eeaf7,0.353571429
250,a5313dff,0.396494709
251,a5f85a15,0.636243386
252,a61ba2ce,0.451553116
253,a61f2674,0.636714976
254,a64e4611,0.427488038
255,a65b410d,0.345959596
256,a68b268e,0.31988925
257,a699fb00,0.477399381
258,a740d043,0.790719697
259,a78176bb,0.447080206
260,a79310a0,0.353684359
261,a85d4709,0.239950218
262,a87f7484,0.440587945
263,a8c38be5,0.329681741
264,a8d7556c,0.334991158
265,a9f96cdd,0.354304492
266,aabf363d,0.687558818
267,aba27056,0.27661481
268,ac0a08a4,0.327796837
269,ae3edfdc,0.181983432
270,ae4f1146,0.470191041
271,aedd82e4,0.267973856
272,af902bf9,0.410714286
273,b0c4d837,0.445595052
274,b190f7f5,0.442105263
275,b1948b0a,0.419771242
276,b230c067,0.548140517
277,b27ca6d3,0.293854294
278,b2862040,0.491666667
279,b527c5c6,0.180016255
280,b548a754,0.388853153
281,b60334d2,0.337054676
282,b6afb2da,0.332202112
283,b7249182,0.48813369
284,b775ac94,0.215009501
285,b782dc8a,0.384435123
286,b8825c91,0.392410952
287,b8cdaf2b,0.371753247
288,b91ae062,0.462201061
289,b94a9452,0.407063567
290,b9b7f026,0.551614907
291,ba26e723,0.368142289
292,ba97ae07,0.29751462
293,bb43febb,0.336666667
294,bbc9ae5d,0.346356384
295,bc1d5164,0.439922003
296,bd4472b8,0.692517007
297,bda2d7a6,0.380952381
298,bdad9b1f,0.346171802
299,be94b721,0.455263158
300,beb8660c,0.347826598
301,c0f76784,0.677083333
302,c1d99e64,0.250111408
303,c3e719e8,0.27199327
304,c3f564a4,0.335062582
305,c444b776,0.727696078
306,c59eb873,0.367410714
307,c8cbb738,0.398823764
308,c8f0f002,0.552232143
309,c909285e,0.369939709
310,c9e6f938,0.406926407
311,c9f8e694,0.545138889
312,caa06a1f,0.225482061
313,cbded52d,0.434300699
314,cce03e0d,0.311907182
315,cdecee7f,0.279949869
316,ce22a75a,0.629072682
317,ce4f8723,0.724116743
318,ce602527,0.348227448
319,ce9e57f2,0.334652965
320,cf98881b,0.313459063
321,d037b0a7,0.356635263
322,d06dbe63,0.407456943
323,d07ae81c,0.286054066
324,d0f5fe59,0.323275862
325,d10ecb37,0.406213383
326,d13f3404,0.452570346
327,d22278a0,0.268554291
328,d23f8c26,0.389625421
329,d2abd087,0.232611833
330,d364b489,0.458831492
331,d406998b,0.916666667
332,d43fd935,0.399456522
333,d4469b4b,0.555448178
334,d4a91cb9,0.321043019
335,d4f3cd78,0.276588465
336,d511f180,0.587115385
337,d5d6de2d,0.386976172
338,d631b094,0.381842694
339,d687bc17,0.303821413
340,d6ad076f,0.370680147
341,d89b689b,0.363745946
342,d8c310e9,0.447610294
343,d90796e8,0.240592502
344,d9f24cd1,0.426941504
345,d9fac9be,0.396811522
346,dae9d2b5,0.271346713
347,db3e9e38,0.295378638
348,db93a21d,0.334737661
349,dbc1a6ce,0.279996392
350,dc0a314f,0.250772947
351,dc1df850,0.524365942
352,dc433765,0.318418561
353,ddf7fa4f,0.30509058
354,de1cd16c,0.483374741
355,ded97339,0.471861472
356,e179c5f4,0.325056647
357,e21d9049,0.437292176
358,e26a3af2,0.463883399
359,e3497940,0.323434451
360,e40b9e2f,0.252730523
361,e48d4e1a,0.54206044
362,e5062a87,0.311026936
363,e509e548,0.387898306
364,e50d258f,0.485515873
365,e6721834,0.45718606
366,e73095fd,0.592948718
367,e76a88a6,0.470743034
368,e8593010,0.61453202
369,e8dc4411,0.201998492
370,e9614598,0.562792398
371,e98196ab,0.571969697
372,e9afcf9a,0.29883574
373,ea32f347,0.501245211
374,ea786f4a,0.27097245
375,eb281b96,0.338657804
376,eb5a1d5d,0.460283251
377,ec883f72,0.346385046
378,ecdecbb3,0.393202576
379,ed36ccf7,0.702380952
380,ef135b50,0.305821078
381,f15e1fac,0.314764328
382,f1cefba8,0.391891892
383,f25fbde4,0.689304029
384,f25ffba3,0.310770751
385,f2829549,0.319551867
386,f35d900a,0.360781268
387,f5b8619d,0.311792986
388,f76d97a5,0.522875817
389,f8a8fe49,0.498261443
390,f8b3ba0a,0.323787173
391,f8c80d96,0.369318182
392,f8ff0b80,0.211792149
393,f9012d9b,0.243847073
394,fafffa47,0.283451866
395,fcb5c309,0.310226298
396,fcc82909,0.564685315
397,feca6190,0.289696699
398,ff28f65a,0.298552458
399,ff805c23,0.334298942
